ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
616262580,Photo,Tree Swallow,Tachycineta bicolor,,Ryan Sanderson,2024-03-18,2024,3,18,734,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Adult – 1,Flying,Unspecified,"","",,,,,,,S165304344,"",,,,Counted in one sweep over waterfowl sanctuary.,Tachycineta bicolor,treswa,Species,23834,,4.97,238,"",1688,3000
616262577,Photo,Tree Swallow,Tachycineta bicolor,,Ryan Sanderson,2024-03-18,2024,3,18,734,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Adult – 1,"Flying; Foraging or Eating",Unspecified,"","",,,,,,,S165304344,"",,,,Counted in one sweep over waterfowl sanctuary.,Tachycineta bicolor,treswa,Species,23834,,4.95,216,"",1688,3000
588917951,Photo,Tree Swallow,Tachycineta bicolor,,Steven Meisel,2023-06-27,2023,6,27,1406,United States,US-MN-163,Minnesota,Washington,Markgraf Lake Trail,44.9383480,-92.9016070,"",,Unspecified,"","",,,,,,,S142884660,"",,,,,Tachycineta bicolor,treswa,Species,23834,,4.94,162,,3888,5184
430424441,Photo,Tree Swallow,Tachycineta bicolor,,Brad Imhoff,2022-03-30,2022,3,30,1036,United States,US-OH-089,Ohio,Licking,Dawes Arboretum--Red Barn Area,39.9896165,-82.4122728,Adult Male – 1,Flying,Unspecified,"","",,,,,,,S105896374,"",,,,,Tachycineta bicolor,treswa,Species,23834,,4.97,111,"",1604,2405
440582981,Photo,Tree Swallow,Tachycineta bicolor,,Brian Stahls,2022-04-26,2022,4,26,1400,Canada,CA-ON-TO,Ontario,Toronto,"Toronto--Ashbridge's Bay Park",43.6599861,-79.3093553,"",,Unspecified,"","",,,,,,,S108160658,"",,,,,Tachycineta bicolor,treswa,Species,23834,,4.97,106,,2287,3431
616262579,Photo,Tree Swallow,Tachycineta bicolor,,Ryan Sanderson,2024-03-18,2024,3,18,734,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Adult – 1,"Flying; Foraging or Eating",Unspecified,"","",,,,,,,S165304344,"",,,,Counted in one sweep over waterfowl sanctuary.,Tachycineta bicolor,treswa,Species,23834,,4.96,105,"",1688,3000
101318791,Photo,Tree Swallow,Tachycineta bicolor,,Max Nootbaar,2018-05-19,2018,5,19,1457,United States,US-VA-003,Virginia,Albemarle,Olympia Drive Ponds,38.0339209,-78.4413689,"",,Unspecified,"","",,,,,,,S45831599,"",,,,,Tachycineta bicolor,treswa,Species,23834,,4.89,231,,3648,5472
51359581,Photo,Tree Swallow,Tachycineta bicolor,,Evan Lipton,2015-04-24,2015,4,24,736,United States,US-MA-005,Massachusetts,Bristol,Caratunk Wildlife Refuge,41.8740347,-71.3212734,Male,,Unspecified,"","",,,,,,,S23026887,"",,,,,Tachycineta bicolor,treswa,Species,23834,,4.89,162,,3456,5184
616262576,Photo,Tree Swallow,Tachycineta bicolor,,Ryan Sanderson,2024-03-18,2024,3,18,734,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Adult – 1,"Flying; Foraging or Eating",Unspecified,"","",,,,,,,S165304344,"",,,,Counted in one sweep over waterfowl sanctuary.,Tachycineta bicolor,treswa,Species,23834,,4.96,83,"",1688,3000
617716914,Photo,Tree Swallow,Tachycineta bicolor,,Manuel Salgado,2024-04-21,2024,4,21,701,United States,US-DC-001,District of Columbia,District of Columbia,Kingman Island South - Kingman Lake/Heritage Island,38.8938720,-76.9653010,"",,Unspecified,"","",,,,,,,S169610031,"",,,,,Tachycineta bicolor,treswa,Species,23834,,4.97,77,,3333,5000
