ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
89604761,Photo,Tufted Titmouse,Baeolophus bicolor,,Brenda Bull,2018-03-12,2018,3,12,1130,United States,US-NY-103,New York,Suffolk,Elizabeth A. Morton NWR,40.9909126,-72.3699903,"",,Unspecified,"","",,,,,,,S43613903,"",,,,,Baeolophus bicolor,tuftit,Species,21936,,4.95,97,,3037,4307
43828641,Photo,Tufted Titmouse,Baeolophus bicolor,,Gates Dupont,2016-01-06,2016,1,6,1000,United States,US-MA-017,Massachusetts,Middlesex,Annursnac Conservation Land,42.4837922,-71.3944817,"",,Unspecified,"","",,,,,,,S33280132,"",,,,,Baeolophus bicolor,tuftit,Species,21936,,4.92,118,,3058,4588
308500671,Photo,Tufted Titmouse,Baeolophus bicolor,,Matthew Plante,2021-02-16,2021,2,16,1030,United States,US-OH-089,Ohio,Licking,Park Trails,40.0537932,-82.4896630,"",,Unspecified,"","",,,,,,,S81758304,"",,,,,Baeolophus bicolor,tuftit,Species,21936,,4.90,119,,2797,4196
274277171,Photo,Tufted Titmouse,Baeolophus bicolor,,Ronan Nicholson,2020-10-24,2020,10,24,815,United States,US-NC-021,North Carolina,Buncombe,Young’s Cove Road,35.5232700,-82.7128780,"",,Unspecified,"","",,,,,,,S75373837,"",,,,,Baeolophus bicolor,tuftit,Species,21936,,4.89,81,,3166,4749
273266931,Photo,Tufted Titmouse,Baeolophus bicolor,,Grace C,2020-10-21,2020,10,21,1404,United States,US-VT-021,Vermont,Rutland,BNC (Private properties within 5 mi.),43.4569605,-73.1618786,"",,Unspecified,"","",,,,,,,S75187705,"",,,,,Baeolophus bicolor,tuftit,Species,21936,,4.83,100,,2552,3825
125820511,Photo,Tufted Titmouse,Baeolophus bicolor,,Brad Imhoff,2018-11-29,2018,11,29,1405,United States,US-OH-089,Ohio,Licking,Pinetree Drive,40.0921976,-82.4813998,"",,Unspecified,"","",,,,,,,S50301626,"",,,,,Baeolophus bicolor,tuftit,Species,21936,,4.85,86,,2133,3199
500622291,Photo,Tufted Titmouse,Baeolophus bicolor,,Matt Felperin,2021-11-21,2021,11,21,1100,United States,US-VA-013,Virginia,Arlington,Potomac Overlook Regional Park,38.9130000,-77.1080000,"",,Unspecified,"","",,,,,,,S121707817,"",,,,,Baeolophus bicolor,tuftit,Species,21936,,4.96,48,,1740,2609
66803801,Photo,Tufted Titmouse,Baeolophus bicolor,,Evan Lipton,2014-12-12,2014,12,12,0,United States,US-MA-021,Massachusetts,Norfolk,"Houston Avenue Yard, Milton",42.2587206,-71.0919526,"",,Unspecified,"","",,,,,,,S38782566,"",,,,,Baeolophus bicolor,tuftit,Species,21936,,4.89,57,,2851,4276
210849501,Photo,Tufted Titmouse,Baeolophus bicolor,,Matthew Brown,2020-02-21,2020,2,21,1141,United States,US-NY-075,New York,Oswego,Home,43.6053848,-76.1471608,"",,Unspecified,"","",,,,,,,S64840643,"",,,,,Baeolophus bicolor,tuftit,Species,21936,,4.86,65,,2078,2955
354143621,Photo,Tufted Titmouse,Baeolophus bicolor,,Brad Imhoff,2021-07-13,2021,7,13,707,United States,US-OH-089,Ohio,Licking,Pinetree Drive,40.0921976,-82.4813998,"",,Unspecified,"","",,,,,,,S91687494,"",,,,,Baeolophus bicolor,tuftit,Species,21936,,4.85,62,,3067,4598
417680961,Photo,Tufted Titmouse,Baeolophus bicolor,,Jocelyn  Anderson,2022-02-19,2022,2,19,755,United States,US-MI-125,Michigan,Oakland,Kensington Metropark--general (Oakland Co. only),42.5284410,-83.6706485,"",,Unspecified,"","",,,,,,,S103053199,"",,,,,Baeolophus bicolor,tuftit,Species,21936,,4.95,39,,2604,3974
558239611,Photo,Tufted Titmouse,Baeolophus bicolor,,Ben  Lucking,2023-04-15,2023,4,15,1536,Canada,CA-ON-TO,Ontario,Toronto,Toronto--Toronto Islands,43.6165143,-79.3821734,"",,Unspecified,"","",,,,,,,S133896057,"",,,,"Continuing, found by Nate Klassen earlier. Mobile along the Eastern Channel before following a chickadee across the channel to Cherry Beach.",Baeolophus bicolor,tuftit,Species,21936,,5.00,31,,2917,4376
616631128,Photo,Tufted Titmouse,Baeolophus bicolor,,Matt Felperin,2024-03-26,2024,3,26,1645,United States,US-VA-059,Virginia,Fairfax,Meadowlark Botanical Gardens,38.9402075,-77.2832423,"",,Unspecified,"","",,,,,,,S166367711,"",,,,,Baeolophus bicolor,tuftit,Species,21936,,4.90,40,,3085,4625
