ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
373545991,Photo,Turkey Vulture,Cathartes aura,,Kathryn Young,2021-09-29,2021,9,29,811,United States,US-FL-115,Florida,Sarasota,Myakka River SP,27.2405033,-82.3148167,"",,Unspecified,"","",,,,,,,S95334413,"",,,,,Cathartes aura,turvul,Species,7720,,4.92,485,,2592,3888
527839701,Photo,Turkey Vulture,Cathartes aura,,Brad Imhoff,2023-01-24,2023,1,24,1706,United States,US-OH-089,Ohio,Licking,Evergreen Hills Neighborhood,40.0920365,-82.4824430,"","",Unspecified,"","",,,,,,,S126870999,"",,,,The white vulture was among them!,Cathartes aura,turvul,Species,7720,,4.92,134,Aberrant individual,2009,3012
614468030,Photo,Turkey Vulture,Cathartes aura,,Anne Inga,2024-02-05,2024,2,5,1605,United States,US-FL-081,Florida,Manatee,Terra Ceia Preserve SP--Hightower Trail,27.5813861,-82.5726682,"",,Unspecified,"","",,,,,,,S160760040,"",,,,,Cathartes aura,turvul,Species,7720,,4.98,61,,2873,3897
219940511,Photo,Turkey Vulture,Cathartes aura,,Scott Martin,2020-02-25,2020,2,25,745,United States,US-FL-095,Florida,Orange,Orlando Wetlands Park,28.5700783,-80.9963373,"",,Unspecified,"","",,,,,,,S66501766,"",,,,,Cathartes aura,turvul,Species,7720,,4.80,142,,2021,3027
371206181,Photo,Turkey Vulture,Cathartes aura,,Matt Mason,2021-09-20,2021,9,20,712,United States,US-OH-115,Ohio,Morgan,Smith Rd. Grasslands (view from roadside only),39.7558100,-81.8162700,"",,Unspecified,"","",,,,,,,S94946866,"",,,,,Cathartes aura,turvul,Species,7720,,4.82,96,,2509,3892
393657761,Photo,Turkey Vulture,Cathartes aura,,Brad Imhoff,2021-12-05,2021,12,5,1558,United States,US-OH-089,Ohio,Licking,Evergreen Hills Neighborhood,40.0920365,-82.4824430,"","",Unspecified,"","",,,,,,,S98522548,"",,,,Likely the same albino bird I photographed on 6/1/2020 ten miles from this location.,Cathartes aura,turvul,Species,7720,,4.84,70,Aberrant individual,1740,2608
253456291,Photo,Turkey Vulture,Cathartes aura,,Luciano Massa,2020-03-14,2020,3,14,700,Argentina,AR-X-SA,Córdoba,San Alberto,Hospedaje Kuntur Huaca,-31.7318903,-64.9011326,"",Flying,Unspecified,"","",,,,,,,S72101453,"",,,,ejemplares en vuelo,Cathartes aura,turvul,Species,7720,,4.81,83,"",2395,3592
55494441,Photo,Turkey Vulture,Cathartes aura,,Evan Lipton,2017-04-23,2017,4,23,805,United States,US-RI-005,Rhode Island,Newport,Pardon Gray Preserve and Weetamoo Woods,41.5902191,-71.1786389,"",,Unspecified,"","",,,,,,,S36205189,"",,,,,Cathartes aura,turvul,Species,7720,,4.79,97,,3397,5096
298677851,Photo,Turkey Vulture,Cathartes aura,,Mason Maron,2021-01-12,2021,1,12,1054,United States,US-CA-089,California,Shasta,Sundial Bridge,40.5923826,-122.3775029,"",,Unspecified,"","",,,,,,,S79137021,"",,,,,Cathartes aura,turvul,Species,7720,,4.77,98,,2835,5041
498848291,Photo,Turkey Vulture,Cathartes aura,,Matt Mason,2022-10-29,2022,10,29,1129,United States,US-OH-089,Ohio,Licking,Liberty church turkey vultures,40.1520700,-82.5647010,"",,Unspecified,"","",,,,,,,S121536650,"",,,,,Cathartes aura,turvul,Species,7720,,4.79,66,,2631,4074
