ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
395264011,Photo,Verdin,Auriparus flaviceps,,Phil Chaon,2021-12-10,2021,12,10,816,United States,US-NM-051,New Mexico,Sierra,Caballo Lake SP--Percha Flats,32.8999250,-107.3038100,"",,Unspecified,"","",,,,,,,S98702512,"",,,,,Auriparus flaviceps,verdin,Species,22045,,4.98,188,,1816,2724
422848851,Photo,Verdin,Auriparus flaviceps,,Bryan Calk,2022-02-12,2022,2,12,805,United States,US-AZ-019,Arizona,Pima,Sentinel Peak Park,32.2090248,-110.9941006,"",,Unspecified,"","",,,,,,,S102875364,"",,,,,Auriparus flaviceps,verdin,Species,22045,,4.93,115,,2651,4712
215806611,Photo,Verdin,Auriparus flaviceps,,Sharif Uddin,2020-03-15,2020,3,15,815,United States,US-CA-071,California,San Bernardino,Joshua Tree NP--Oasis Visitor Center,34.1288802,-116.0377747,"",,Unspecified,"","",,,,,,,S65827308,"",,,,,Auriparus flaviceps,verdin,Species,22045,,4.98,51,,2171,3257
49114231,Photo,Verdin,Auriparus flaviceps,,Eric Ellingson,2017-02-18,2017,2,18,928,United States,US-AZ-013,Arizona,Maricopa,Desert Botanical Garden,33.4618165,-111.9436349,"",,Unspecified,"","",,,,,,,S34469367,"",,,,,Auriparus flaviceps,verdin,Species,22045,,4.98,44,,2082,3123
167915021,Photo,Verdin,Auriparus flaviceps,,Juan Miguel Artigas Azas,2019-07-12,2019,7,12,752,Mexico,MX-SLP-030,San Luis Potosí,San Luis Potosí,Parque Tangamanga,22.1266728,-101.0010910,"",,Unspecified,"","",,,,,,,S58120291,"",,,,,Auriparus flaviceps,verdin,Species,22045,,4.91,45,,800,1200
316620971,Photo,Verdin,Auriparus flaviceps,,Neil Rucker,2021-03-14,2021,3,14,730,United States,US-AZ-013,Arizona,Maricopa,Evelyn Hallman Park,33.4480905,-111.9371943,"",Vocalizing,Unspecified,"","",,,,,,,S83400753,"",,,,,Auriparus flaviceps,verdin,Species,22045,,4.90,41,"",2109,3164
257693661,Photo,Verdin,Auriparus flaviceps,,Suzie McCann,2019-06-03,2019,6,3,1722,United States,US-TX-427,Texas,Starr,Santa Clara Ranch,26.5507200,-98.5414840,"",,Unspecified,"","",,,,,,,S57088052,"",,,,,Auriparus flaviceps,verdin,Species,22045,,4.97,31,,3571,5356
111002251,Photo,Verdin,Auriparus flaviceps,,Daniel Irons,2018-04-20,2018,4,20,1637,United States,US-AZ-013,Arizona,Maricopa,"7525 East Clubhouse Road, Scottsdale, Arizona, US (33.803, -111.922)",33.8027636,-111.9215934,"",,Unspecified,"","",,,,,,,S44770396,"",,,,,Auriparus flaviceps,verdin,Species,22045,,4.96,28,,2886,4329
101363701,Photo,Verdin,Auriparus flaviceps,,Sean Fitzgerald,2018-05-21,2018,5,21,632,United States,US-AZ-013,Arizona,Maricopa,Riparian Preserve at Gilbert Water Ranch,33.3614502,-111.7339478,Juvenile,,Unspecified,"","",,,,,,,S45896584,"",,,,,Auriparus flaviceps,verdin,Species,22045,,4.79,43,,1699,2831
202317381,Photo,Verdin,Auriparus flaviceps,,Marceline VandeWater,2020-01-22,2020,1,22,1220,United States,US-AZ-013,Arizona,Maricopa,Riparian Preserve at Gilbert Water Ranch,33.3614502,-111.7339478,"",,Unspecified,"","",,,,,,,S63689108,"",,,,,Auriparus flaviceps,verdin,Species,22045,,4.82,39,,1644,2466
422848811,Photo,Verdin,Auriparus flaviceps,,Bryan Calk,2022-02-12,2022,2,12,805,United States,US-AZ-019,Arizona,Pima,Sentinel Peak Park,32.2090248,-110.9941006,"",,Unspecified,"","",,,,,,,S102875364,"",,,,,Auriparus flaviceps,verdin,Species,22045,,4.96,26,,2449,4353
