ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
435957851,Photo,Violet-green Swallow,Tachycineta thalassina,,Blair Dudeck,2022-04-09,2022,4,9,1320,Canada,CA-BC-OS,British Columbia,Okanagan-Similkameen,Osoyoos--Road 22 and dykes (general),49.0892696,-119.5351982,Adult Male – 1,Flying,Unspecified,"","",,,,,,,S106874834,"",,,,,Tachycineta thalassina,vigswa,Species,23844,,4.96,112,"",2511,4017
432555151,Photo,Violet-green Swallow,Tachycineta thalassina,,Blair Dudeck,2022-04-02,2022,4,2,2250,Canada,CA-BC-OS,British Columbia,Okanagan-Similkameen,"999 246th Avenue, Osoyoos, British Columbia, CA (49.089, -119.535)",49.0890094,-119.5345340,Adult Male – 1,Flying,Unspecified,"","",,,,,,,S106148958,"",,,,,Tachycineta thalassina,vigswa,Species,23844,,4.91,174,"",3742,5988
240900421,Photo,Violet-green Swallow,Tachycineta thalassina,,Joshua Covill,2020-06-03,2020,6,3,843,United States,US-MT-029,Montana,Flathead,Cromwell Creek Rd.--Lower Section,47.8775743,-114.5205070,"",,Unspecified,"","",,,,,,,S70027380,"",,,,,Tachycineta thalassina,vigswa,Species,23844,,4.89,233,,1706,2560
240900441,Photo,Violet-green Swallow,Tachycineta thalassina,,Joshua Covill,2020-06-03,2020,6,3,843,United States,US-MT-029,Montana,Flathead,Cromwell Creek Rd.--Lower Section,47.8775743,-114.5205070,Adult Male – 1,,Unspecified,"","",,,,,,,S70027380,"",,,,,Tachycineta thalassina,vigswa,Species,23844,,4.98,83,,1706,2560
433182101,Photo,Violet-green Swallow,Tachycineta thalassina,,Blair Dudeck,2022-04-02,2022,4,2,2250,Canada,CA-BC-OS,British Columbia,Okanagan-Similkameen,"999 246th Avenue, Osoyoos, British Columbia, CA (49.089, -119.535)",49.0890094,-119.5345340,Adult Male – 1,Flying,Unspecified,"","",,,,,,,S106148958,"",,,,,Tachycineta thalassina,vigswa,Species,23844,,4.93,113,"",4122,6594
73682241,Photo,Violet-green Swallow,Tachycineta thalassina,,Darren Clark,2012-05-24,2012,5,24,0,United States,US-ID-051,Idaho,Jefferson,Western Wings,43.7401582,-112.1634579,"",,Unspecified,"","",,,,,,,S40228304,"",,,,,Tachycineta thalassina,vigswa,Species,23844,,5.00,64,,1017,1500
190755191,Photo,Violet-green Swallow,Tachycineta thalassina,,Daniel Irons,2019-06-02,2019,6,2,546,United States,US-WY-029,Wyoming,Park,Yellowstone NP--Lamar Valley (please use more precise locations),44.8716252,-110.1849747,Adult Male – 1,,Unspecified,"","",,,,,,,S56999847,"",,,,,Tachycineta thalassina,vigswa,Species,23844,,4.93,109,,2720,4080
149911861,Photo,Violet-green Swallow,Tachycineta thalassina,,Brad Vissia,2019-04-08,2019,4,8,1055,Canada,CA-BC-CO,British Columbia,Central Okanagan,West Kelowna--Mouth of Powers Creek,49.8155024,-119.6235180,"",,Unspecified,"","",,,,,,,S54730336,"",,,,,Tachycineta thalassina,vigswa,Species,23844,,4.84,251,,2370,3546
240900411,Photo,Violet-green Swallow,Tachycineta thalassina,,Joshua Covill,2020-06-03,2020,6,3,843,United States,US-MT-029,Montana,Flathead,Cromwell Creek Rd.--Lower Section,47.8775743,-114.5205070,Adult Male – 1,,Unspecified,"","",,,,,,,S70027380,"",,,,,Tachycineta thalassina,vigswa,Species,23844,,4.93,85,,1707,2560
438571861,Photo,Violet-green Swallow,Tachycineta thalassina,,Blair Dudeck,2022-04-09,2022,4,9,1320,Canada,CA-BC-OS,British Columbia,Okanagan-Similkameen,Osoyoos--Road 22 and dykes (general),49.0892696,-119.5351982,Adult Male – 1,Flying,Unspecified,"","",,,,,,,S106874834,"",,,,,Tachycineta thalassina,vigswa,Species,23844,,4.88,108,"",4586,7337
