ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
460582571,Photo,Warbling Vireo,Vireo gilvus,,Mason Maron,2022-06-18,2022,6,18,1017,United States,US-WA-033,Washington,King,Lewis Creek Park,47.5506266,-122.1250936,Adult – 1,Vocalizing,Unspecified,"","",,,,,,,S113211083,"",,,,,Vireo gilvus,warvir,Species,19045,,4.97,91,"",2631,4210
337038491,Photo,Warbling Vireo,Vireo gilvus,,Matthew Plante,2021-05-11,2021,5,11,1116,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,"",,Unspecified,"","",,,,,,,S87832892,"",,,,,Vireo gilvus,warvir,Species,19045,,4.94,87,,2565,3848
477130901,Photo,Warbling Vireo,Vireo gilvus,,Matthew Dolkart,2022-08-20,2022,8,20,1550,United States,US-IL-031,Illinois,Cook,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",41.9633833,-87.6344204,"",,Unspecified,"","",,,,,,,S117304095,"",,,,"Snaaaaaackin' hard",Vireo gilvus,warvir,Species,19045,,4.93,59,,2722,4083
337965841,Photo,Warbling Vireo,Vireo gilvus,,mark daly,2021-05-13,2021,5,13,740,Canada,CA-BC-GV,British Columbia,Metro Vancouver,"Lynn Canyon Park, North Vancouver CA-BC 49.34242, -123.01988",49.3424220,-123.0198790,"","Foraging or Eating; Vocalizing",Unspecified,"","",,,,,,,S88000162,"",,,https://natureasart.photoshelter.com,,Vireo gilvus,warvir,Species,19045,,4.91,54,"",2721,4250
460582561,Photo,Warbling Vireo,Vireo gilvus,,Mason Maron,2022-06-18,2022,6,18,1017,United States,US-WA-033,Washington,King,Lewis Creek Park,47.5506266,-122.1250936,Adult – 1,Vocalizing,Unspecified,"","",,,,,,,S113211083,"",,,,,Vireo gilvus,warvir,Species,19045,,4.93,41,"",2734,4101
231176011,Photo,Warbling Vireo,Vireo gilvus,,Liron Gertsman,2020-05-05,2020,5,5,948,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Vancouver--Queen Elizabeth Park,49.2419437,-123.1122059,"",,Unspecified,"","",,,,,,,S68477587,"",,,,,Vireo gilvus,warvir,Species,19045,,4.87,39,,1067,1600
176004381,Photo,Warbling Vireo,Vireo gilvus,,Suzanne Labbé,2019-09-06,2019,9,6,938,Canada,CA-QC-RS,Quebec,Roussillon,RécréoParc (Côte-Ste-Catherine),45.4088164,-73.5745737,"",,Unspecified,"","",,,,,,,S59555585,"",,,,,Vireo gilvus,warvir,Species,19045,,4.81,43,,1105,1600
432146601,Photo,Warbling Vireo,Vireo gilvus,,Anonymous,2022-04-04,2022,4,4,653,United States,US-CA-059,California,Orange,Maple Springs Truck Trail--gate to end of pavement,33.7540471,-117.5665775,Adult – 1,Vocalizing,Unspecified,"","",,,,,,,S106307192,"",,,,,Vireo gilvus,warvir,Species,19045,,4.63,95,"",2085,3426
249349971,Photo,Warbling Vireo,Vireo gilvus,,Steven Hunter,2020-07-13,2020,7,13,1555,United States,US-CA-057,California,Nevada,Tahoe NF--Sagehen Creek Trail (NEV Co.),39.4320912,-120.1991898,Immature – 1,Vocalizing,Unspecified,"","",,,,,,,S71471754,"",,,,,Vireo gilvus,warvir,Species,19045,,4.83,30,"",1959,2938
177166991,Photo,Warbling Vireo,Vireo gilvus,,Rachel Hudson,2019-09-14,2019,9,14,1154,United States,US-WA-041,Washington,Lewis,"Willapa Hills Trail, Chehalis entrance",46.6474771,-122.9744393,"",,Unspecified,"","",,,,,,,S59801691,"",,,,,Vireo gilvus,warvir,Species,19045,,4.73,44,,1416,1891
585511201,Photo,Warbling Vireo,Vireo gilvus,,Michael Stubblefield,2023-05-28,2023,5,28,532,United States,US-NJ-017,New Jersey,Hudson,Liberty SP,40.7025698,-74.0493536,Adult Male – 1,"Foraging or Eating; Vocalizing",Unspecified,"","",,,,,,,S139582959,"",,,"Warbling Vireo (Vireo gilvus gilvus), Eastern subspecies, adult male foraging and singing on its breeding territory in Liberty State Park, Jersey City, New Jersey.",,Vireo gilvus,warvir,Species,19045,,5.00,21,"",2789,4182
460348831,Photo,Warbling Vireo,Vireo gilvus,,Steve Wickliffe,2022-06-17,2022,6,17,700,United States,US-MT-023,Montana,Deer Lodge,"Anaconda, MT Sunnyside Road",46.1229563,-112.9839788,Adult – 1,,Unspecified,"","",,,,,,,S113131372,"",,,,,Vireo gilvus,warvir,Species,19045,,5.00,18,,2250,3000
110288531,Photo,Warbling Vireo,Vireo gilvus,,Suzanne Labbé,2018-08-09,2018,8,9,809,Canada,CA-QC-MR,Quebec,Montréal,Domaine St-Paul,45.4546332,-73.5529532,"",,Unspecified,"","",,,,,,,S47742227,"",,,,,Vireo gilvus,warvir,Species,19045,,4.58,52,,1037,1600
623770895,Photo,Warbling Vireo,Vireo gilvus,,Ryan Shean,2024-09-14,2024,9,14,901,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,"",,Unspecified,"","",,,,,,,S195072463,"",,,,,Vireo gilvus,warvir,Species,19045,,4.95,19,,3506,4382
339121131,Photo,Warbling Vireo,Vireo gilvus,,Kojo Baidoo,2021-05-12,2021,5,12,1640,United States,US-MD-005,Maryland,Baltimore,Liberty Reservoir--Route 140  (Balt. Co.),39.4886416,-76.8655443,"",,Unspecified,"","",,,,,,,S87940722,"",,,,,Vireo gilvus,warvir,Species,19045,,4.71,31,,2666,3998
231812731,Photo,Warbling Vireo,Vireo gilvus,,Don Danko,2020-05-07,2020,5,7,1634,United States,US-OH-049,Ohio,Franklin,Duranceau Park,40.0219609,-83.0974789,"",,Unspecified,"","",,,,,,,S68566060,"",,,,,Vireo gilvus,warvir,Species,19045,,4.94,18,,1958,2936
355316711,Photo,Warbling Vireo,Vireo gilvus,,Matt Mason,2021-07-18,2021,7,18,735,United States,US-OH-119,Ohio,Muskingum,Dillon Wildlife Area--Pleasant Valley Rd. Access,40.0632600,-82.1783400,"",,Unspecified,"","",,,,,,,S91949084,"",,,,,Vireo gilvus,warvir,Species,19045,,4.64,33,,1709,2138
583166041,Photo,Warbling Vireo (Eastern),Vireo gilvus gilvus,,Roy Chatburn,2023-06-10,2023,6,10,910,Canada,CA-ON-SC,Ontario,Simcoe,Collingwood--Hen & Chicken Island (Heather Pathway),44.5151600,-80.2297600,Adult – 1,Foraging or Eating,Unspecified,"","",,,,,,,S141106680,"",,,"Empty nester. I'd been watching this lady on her nest, always singing - the fledglings moved out the day before.",,Vireo gilvus,eawvir1,Group,19046,,5.00,15,"",2500,3500
496596081,Photo,Warbling Vireo,Vireo gilvus,,Marky Mutchler,2022-10-17,2022,10,17,701,United States,US-CA-083,California,Santa Barbara,Santa Cruz Island--Scorpion Canyon Campgrounds,34.0484615,-119.5645389,"",,Unspecified,"","",,,,,,,S120871639,"",,,,Exact count of minimum number of birds. Stocky videos with variably pale underparts and white throats. Facial pattern blurry and indistinct. Sadly no Philadelphia Vireos!,Vireo gilvus,warvir,Species,19045,,5.00,15,,3179,5010
356857471,Photo,Warbling Vireo,Vireo gilvus,,Steve Wickliffe,2021-07-23,2021,7,23,814,United States,US-MT-023,Montana,Deer Lodge,FR 9411 / Upper Sand Hollow Rd. - Deerlodge National Forest,46.2324230,-112.6777150,Adult – 1,"",Unspecified,"","",,,,,,,S92186275,"",,,,,Vireo gilvus,warvir,Species,19045,,5.00,15,Habitat,2761,3681
581652251,Photo,Warbling Vireo,Vireo gilvus,,Scott Tuthill,2023-06-05,2023,6,5,805,United States,US-ID-001,Idaho,Ada,Orchard Gulch Trailhead,43.6340563,-116.0842466,Adult Male – 1,,Unspecified,"","",,,,,,,S140596701,"",,,"Likely a male as this bird was seen singing, and per Pieplow, only males sing. Same bird as other photo",Counted individually. Each tree or group of trees had its designated singing male - as in past years. It just seems to be a big year for Warbling Vireos. I had counted three before even starting up the trail.,Vireo gilvus,warvir,Species,19045,,4.88,16,,2588,3450
373217651,Photo,Warbling Vireo,Vireo gilvus,,Rodney Ungwiluk Jr,2021-09-27,2021,9,27,1500,United States,US-AK-180,Alaska,Nome Census Area,Gambell (general area),63.7793007,-171.7214584,"",,Unspecified,"","",,,,,,,S95283285,"",,,,"Found by Clarence Irrigoo, Jr. at the boneyards north of Gambell's airport apron. Photos included.",Vireo gilvus,warvir,Species,19045,,4.88,16,,1667,2500
371397821,Photo,Warbling Vireo,Vireo gilvus,,Jim Merritt,2021-09-21,2021,9,21,751,United States,US-CO-041,Colorado,El Paso,Red Rock Canyon Open Space,38.8473432,-104.8811263,"",,Unspecified,"","",,,,,,,S94985772,"",,,,,Vireo gilvus,warvir,Species,19045,,4.82,17,,1954,2897
347088921,Photo,Warbling Vireo,Vireo gilvus,,Jim Merritt,2021-06-11,2021,6,11,640,United States,US-CO-065,Colorado,Lake,Turquoise Lake,39.2691929,-106.3707018,"",,Unspecified,"","",,,,,,,S89991363,"",,,,,Vireo gilvus,warvir,Species,19045,,4.93,14,,1174,1221
54395831,Photo,Warbling Vireo,Vireo gilvus,,Scott Evans,2017-04-12,2017,4,12,900,United States,US-IN-105,Indiana,Monroe,Fairfax State Recreation Area,39.0229757,-86.4850893,"","",Unspecified,"","",,,,,,,S35927874,"",,,,,Vireo gilvus,warvir,Species,19045,,4.22,160,Multiple species,1427,2048
479193521,Photo,Warbling Vireo (Western),Vireo gilvus [swainsoni Group],,Andrew Thomas 🦅🪶,2022-08-27,2022,8,27,935,United States,US-WA-063,Washington,Spokane,Feryn Conservation Area,47.7776500,-117.2796580,"",,Unspecified,"","",,,,,,,S117732932,"",,,,,Vireo gilvus,wewvir2,Group,19047,,5.00,12,,3168,4752
479193511,Photo,Warbling Vireo (Western),Vireo gilvus [swainsoni Group],,Andrew Thomas 🦅🪶,2022-08-27,2022,8,27,935,United States,US-WA-063,Washington,Spokane,Feryn Conservation Area,47.7776500,-117.2796580,"",,Unspecified,"","",,,,,,,S117732932,"",,,,,Vireo gilvus,wewvir2,Group,19047,,4.92,13,,3168,4752
479193491,Photo,Warbling Vireo (Western),Vireo gilvus [swainsoni Group],,Andrew Thomas 🦅🪶,2022-08-27,2022,8,27,935,United States,US-WA-063,Washington,Spokane,Feryn Conservation Area,47.7776500,-117.2796580,"",,Unspecified,"","",,,,,,,S117732932,"",,,,,Vireo gilvus,wewvir2,Group,19047,,4.92,13,,3168,4752
