ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
308664121,Photo,Western Kingbird,Tyrannus verticalis,,Ethan Denton,2017-07-18,2017,7,18,1800,Canada,CA-AB-ON,Alberta,Medicine Hat,Wild Horse--Range Rd 20,49.0455760,-110.1398277,Immature – 3,,Unspecified,"","",,,,,,,S38249412,"",,,,,Tyrannus verticalis,weskin,Species,17298,,4.96,121,,1533,2299
28952841,Photo,Western Kingbird,Tyrannus verticalis,,Gerrit Vyn,2010-05-24,2010,5,24,0,Canada,CA-AB-TW,Alberta,Lethbridge,Taber Lake,49.7988156,-112.1181715,Adult,,Unspecified,"","",,,,,,,S29734840,"",,,,,Tyrannus verticalis,weskin,Species,17298,,4.96,96,,1660,2500
185752551,Photo,Western Kingbird,Tyrannus verticalis,,Sean Williams,2019-11-03,2019,11,3,705,United States,US-MA-009,Massachusetts,Essex,Eastern Point Wildlife Sanctuary (Mass Audubon),42.5811683,-70.6642726,"",,Unspecified,"","",,,,,,,S61151268,"",,,,"*Rare. A pale medium-sized bird was perched atop a stick in a field, which I hoped wouldn’t be a mockingbird. It had a yellow belly, blue-gray head, a greenish back, and a thick bill. Other yellow-bellied kingbirds were ruled out due to the relatively smaller bill, gray of throat running down onto the breast, and prominent white outer vanes of the outer rectrices.   This seems like a particularly good year for Western Kingbirds in the east, as well as Tropical Kingbirds. It’s unclear if those two things are related since we aren’t confident in the source population of Tropical Kingbirds. This is the 7th record in Mass so far this fall, with others coming from Wachusett, Halifax, Wellfleet, Chatham, two from Cuttyhunk, and Manomet. New York has had eight records already, and Maine has had one.  The lack of emargination in p9-10 indicates a hatch year. A molt limit is apparent in the greater and lesser coverts in the spread-wing photo.  The exact location of the bird is in Rampart’s Field- https://goo.gl/maps/Aabv5n3JctBK1vav6. This field can be accessed by parking at the Eastern Point Lighthouse and walking the trail across the street from the Yacht Club. It was moving all throughout the northwest side of the field (sunlit in early morning) and in the cedar trees in the field. Sometimes it would sit and preen in a thicket or high up in a deciduous tree.",Tyrannus verticalis,weskin,Species,17298,,4.98,55,,1999,2998
392817181,Photo,Western Kingbird,Tyrannus verticalis,,David Turgeon,2021-11-04,2021,11,4,1128,Canada,CA-QC-HC,Quebec,La Haute-Côte-Nord,Pointe-des-Fortin,48.6411273,-69.0861912,Adult – 1,,Unspecified,"","",,,,,,,S97118284,"",,,,"Présence connue depuis le mois dernier. Beaucoup plus actif que la première fois que je l'ai observé et chasse sur un territoire beaucoup plus grand. Réussi à attraper des petits insectes en vol malgré la température froide. Semble en pleine forme.",Tyrannus verticalis,weskin,Species,17298,,4.94,64,,1463,2195
357634511,Photo,Western Kingbird,Tyrannus verticalis,,Matthew Pendleton,2021-07-29,2021,7,29,1005,United States,US-UT-035,Utah,Salt Lake,Jordan Narrows,40.4447589,-111.9277668,Juvenile – 1,,Unspecified,"","",,,,,,,S92470119,"",,,,,Tyrannus verticalis,weskin,Species,17298,,4.98,52,,2223,3111
583394051,Photo,Western Kingbird,Tyrannus verticalis,,Mason Maron,2023-05-18,2023,5,18,1533,United States,US-NM-001,New Mexico,Bernalillo,Crick Ave. Greenbelt,35.0019170,-106.6196990,Adult – 1,,Unspecified,"","",,,,,,,S138296331,"",,,,,Tyrannus verticalis,weskin,Species,17298,,4.98,48,,3016,4524
332920721,Photo,Western Kingbird,Tyrannus verticalis,,Sharif Uddin,2021-04-27,2021,4,27,1700,United States,US-CA-071,California,San Bernardino,CSU San Bernardino,34.1815597,-117.3245430,"",,Unspecified,"","",,,,,,,S86593126,"",,,,,Tyrannus verticalis,weskin,Species,17298,,5.00,43,,2286,3429
319028771,Photo,Western Kingbird,Tyrannus verticalis,,Andrew Newmark,2021-03-22,2021,3,22,1559,United States,US-CA-073,California,San Diego,Yard - Chula Vista West,32.6268948,-117.0833076,"",,Unspecified,"","",,,,,,,S83917048,"",,,,"Eating berries from a tree in the neighboring yard. The two Cassin's kept going but this one stuck around to snack for a bit. FoS!",Tyrannus verticalis,weskin,Species,17298,,4.84,98,,1666,2501
164167031,Photo,Western Kingbird,Tyrannus verticalis,,Bryan Calk,2019-05-03,2019,5,3,731,United States,US-CO-077,Colorado,Mesa,Cameo & Coal Canyon,39.1550275,-108.3274215,Adult,,Unspecified,"","",,,,,,,S55740496,"",,,,,Tyrannus verticalis,weskin,Species,17298,,4.79,66,,2970,5280
617118410,Photo,Western Kingbird,Tyrannus verticalis,,Braxton Landsman,2024-04-07,2024,4,7,1647,United States,US-CA-065,California,Riverside,San Jacinto Wildlife Area,33.8854488,-117.1041040,"",,Unspecified,"","",,,,,,,S167650701,"",,,,,Tyrannus verticalis,weskin,Species,17298,,4.96,26,,4026,6064
