ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
144265121,Photo,Western Screech-Owl,Megascops kennicottii,,Bryan Calk,2019-03-04,2019,3,4,1930,United States,US-NM-001,New Mexico,Bernalillo,Los Poblanos Open Space,35.1451785,-106.6570330,Adult,,Unspecified,"","",,,,,,,S53586727,"",,,,,Megascops kennicottii,wesowl1,Species,8759,,4.94,129,,3472,6172
487897981,Photo,Western Screech-Owl,Megascops kennicottii,,Derek Lecy,2022-09-24,2022,9,24,653,United States,US-CA-041,California,Marin,Scenic Ave. Yard List - San Rafael US-CA,37.9777550,-122.5429680,"",,Unspecified,"","",,,,,,,S119469030,"",,,,Just returning to its roost.,Megascops kennicottii,wesowl1,Species,8759,,4.93,116,,3483,5011
479846131,Photo,Western Screech-Owl,Megascops kennicottii,,Derek Lecy,2022-08-30,2022,8,30,1942,United States,US-CA-041,California,Marin,Scenic Ave. Yard List - San Rafael US-CA,37.9777550,-122.5429680,"",,Unspecified,"","",,,,,,,S117838850,"",,,,,Megascops kennicottii,wesowl1,Species,8759,,4.96,67,,3659,5488
336181521,Photo,Western Screech-Owl,Megascops kennicottii,,Bryan Calk,2021-04-19,2021,4,19,2044,United States,US-TX-243,Texas,Jeff Davis,TX118 b/w State Park & TX17 (Limpia Creek),30.6048404,-103.8956022,Adult Female – 1,Foraging or Eating,Unspecified,"","",,,,,,,S85941718,"",,,,,Megascops kennicottii,wesowl1,Species,8759,,4.80,94,"",3460,5190
452962321,Photo,Western Screech-Owl,Megascops kennicottii,,Liam Wolff,2022-05-13,2022,5,13,2119,United States,US-TX-043,Texas,Brewster,Big Bend NP--Santa Elena Canyon Overlook area,29.1681449,-103.6037350,Adult – 1,,Unspecified,"","",,,,,,,S109983064,"",,,,,Megascops kennicottii,wesowl1,Species,8759,,4.88,58,,4892,3261
63964981,Photo,Western Screech-Owl,Megascops kennicottii,,Ian Routley,2012-06-29,2012,6,29,1200,Canada,CA-BC-SL,British Columbia,Squamish-Lillooet,Lillooet - Hydro Campground,50.6670161,-121.9758496,Juvenile – 4,,Unspecified,"","",,,,,,,S17608359,"",,,Recently fledged WSOW,Photographed,Megascops kennicottii,wesowl1,Species,8759,,4.91,45,,1663,2200
243084651,Photo,Western Screech-Owl,Megascops kennicottii,,Tim Avery,2017-07-01,2017,7,1,10,United States,US-UT-035,Utah,Salt Lake,Crestwood Park,40.6142294,-111.8435562,"",,Unspecified,"","",,,,,,,S37897132,"",,,,,Megascops kennicottii,wesowl1,Species,8759,,4.95,39,,1296,2000
255087141,Photo,Western Screech-Owl,Megascops kennicottii,,Tim Avery,2020-08-01,2020,8,1,2101,United States,US-UT-035,Utah,Salt Lake,Red Butte Canyon,40.7740256,-111.8180537,"",,Unspecified,"","",,,,,,,S72031734,"",,,,Exact count. At least four (4) 1Y birds.,Megascops kennicottii,wesowl1,Species,8759,,4.83,59,,1296,2000
98546661,Photo,Western Screech-Owl,Megascops kennicottii,,Noah Strycker,2018-05-04,2018,5,4,1500,United States,US-OR-021,Oregon,Gilliam,Wehrli Canyon Lane,45.1495016,-120.2160072,"",,Unspecified,"","",,,,,,,S45285360,"",,,,"About 1.0 miles up Wehrli Canyon Rd there is a lone gnarly cottonwood tree in the canyon bottom. One screech-owl was visible in a natural hollow on the lower right side of the tree, facing the road. It called softly to its mate who replied from somewhere hidden in the same tree, apparently in one of the old flicker holes.",Megascops kennicottii,wesowl1,Species,8759,,4.84,50,,800,1200
372256281,Photo,Western Screech-Owl,Megascops kennicottii,,Michael  Hingerty,2021-09-24,2021,9,24,1717,United States,US-CA-085,California,Santa Clara,Alum Rock Park,37.3950846,-121.8036175,"",,Unspecified,"","",,,,,,,S95119193,"",,,,,Megascops kennicottii,wesowl1,Species,8759,,4.76,50,,1126,2048
