ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
387876921,Photo,White-eyed Vireo,Vireo griseus,,Frédérick Lelièvre,2021-11-13,2021,11,13,1256,Canada,CA-QC-QU,Quebec,Québec,Base de plein air de Ste-Foy,46.7906725,-71.3303447,"",,Unspecified,"","",,,,,,,S97530240,"",,,,Trouvé ce matin par Philippe Jobin et France Carbonneau dans la tourbière.,Vireo griseus,whevir,Species,18966,,4.92,145,,2560,3840
442287721,Photo,White-eyed Vireo,Vireo griseus,,Cody Bassindale,2022-04-30,2022,4,30,1345,Canada,CA-ON-NF,Ontario,Norfolk,"Long Point--'New' Provincial Park",42.5806413,-80.3857613,"",,Unspecified,"","",,,,,,,S108541524,"",,,,,Vireo griseus,whevir,Species,18966,,4.94,95,,2135,3202
182270251,Photo,White-eyed Vireo,Vireo griseus,,Martina Nordstrand,2019-09-30,2019,9,30,910,United States,US-NC-179,North Carolina,Union,Rosewater Lane,35.0456712,-80.6590318,Immature – 1,,Unspecified,"","",,,,,,,S60233314,"",,,,2nd yard record,Vireo griseus,whevir,Species,18966,,4.96,79,,3284,4925
230077021,Photo,White-eyed Vireo,Vireo griseus,,Matthew Addicks,2020-05-02,2020,5,2,728,United States,US-MD-025,Maryland,Harford,Susquehanna SP--Deer Creek Picnic Area,39.6193754,-76.1586857,"",,Unspecified,"","",,,,,,,S68273225,"",,,,,Vireo griseus,whevir,Species,18966,,4.89,98,,1812,2850
388787481,Photo,White-eyed Vireo,Vireo griseus,,Jian Mei,2021-11-17,2021,11,17,924,Canada,CA-ON-TO,Ontario,Toronto,Toronto--Staines Pond,43.8204863,-79.2185605,"",,Unspecified,"","",,,,,,,S97704329,"",,,,Continuing bird. Seen by many. Photos taken,Vireo griseus,whevir,Species,18966,,4.93,70,,1005,1508
388602211,Photo,White-eyed Vireo,Vireo griseus,,Brian Stahls,2021-11-16,2021,11,16,1335,Canada,CA-ON-TO,Ontario,Toronto,"Toronto--Ashbridge's Bay Park",43.6599861,-79.3093553,"",,Unspecified,"","",,,,,,,S97678692,"",,,,Found by Noam this morning. Thanks to Jesse who relocated this afternoon.,Vireo griseus,whevir,Species,18966,,4.98,54,,1470,2204
561325421,Photo,White-eyed Vireo,Vireo griseus,,Erica Heusser,2023-04-22,2023,4,22,715,United States,US-NJ-005,New Jersey,Burlington,Michael Huber Prairie Warbler Preserve,39.8674559,-74.6084976,"",,Unspecified,"","",,,,,,,S134632609,"",,,,,Vireo griseus,whevir,Species,18966,,4.87,79,,3496,4634
431151441,Photo,White-eyed Vireo,Vireo griseus,,Denny Swaby,2022-04-02,2022,4,2,800,United States,US-FL-081,Florida,Manatee,Leffis Key,27.4522656,-82.6890434,"",,Unspecified,"","",,,,,,,S106112760,"",,,,,Vireo griseus,whevir,Species,18966,,4.98,44,,1542,2300
440225621,Photo,White-eyed Vireo,Vireo griseus,,Alicia Ambers,2022-04-19,2022,4,19,1345,United States,US-VA-800,Virginia,Suffolk,Great Dismal Swamp NWR--Railroad Ditch,36.6191100,-76.5273285,Adult Male – 1,,Unspecified,"","",,,,,,,S108032313,"",,,,,Vireo griseus,whevir,Species,18966,,4.87,55,,1241,1861
182270221,Photo,White-eyed Vireo,Vireo griseus,,Martina Nordstrand,2019-09-30,2019,9,30,910,United States,US-NC-179,North Carolina,Union,Rosewater Lane,35.0456712,-80.6590318,Immature – 1,,Unspecified,"","",,,,,,,S60233314,"",,,"Came too close, got cut off! ",2nd yard record,Vireo griseus,whevir,Species,18966,,4.76,85,,2535,3803
