ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
402609531,Photo,White-throated Swift,Aeronautes saxatalis,,Marky Mutchler,2022-01-04,2022,1,4,723,United States,US-CA-037,California,Los Angeles,Santa Fe Dam Rec. Area,34.1113782,-117.9507637,"",,Unspecified,"","",,,,,,,S100110517,"",,,,,Aeronautes saxatalis,whtswi,Species,4103,,4.95,66,,1593,2708
402609511,Photo,White-throated Swift,Aeronautes saxatalis,,Marky Mutchler,2022-01-04,2022,1,4,723,United States,US-CA-037,California,Los Angeles,Santa Fe Dam Rec. Area,34.1113782,-117.9507637,"",,Unspecified,"","",,,,,,,S100110517,"",,,,,Aeronautes saxatalis,whtswi,Species,4103,,4.90,48,,1272,2159
295477601,Photo,White-throated Swift,Aeronautes saxatalis,,Jonathan Eckerson,2020-12-10,2020,12,10,1049,United States,US-CA-065,California,Riverside,Salton Sea SRA--Headquarters and Campground,33.5033635,-115.9148812,"",,Unspecified,"","",,,,,,,S77319412,"",,,,,Aeronautes saxatalis,whtswi,Species,4103,,4.89,37,,2631,3946
428333151,Photo,White-throated Swift,Aeronautes saxatalis,,Anonymous,2022-03-24,2022,3,24,1005,United States,US-CA-059,California,Orange,Castaways Park,33.6191938,-117.9059279,Adult – 1,Flying,Unspecified,"","",,,,,,,S105494749,"",,,"White-throated Swift in flight in Newport Beach, California",Seen flying up into crevaces underneath the PCH bridge.,Aeronautes saxatalis,whtswi,Species,4103,,4.68,114,"",1927,3354
71593281,Photo,White-throated Swift,Aeronautes saxatalis,,Liron Gertsman,2016-05-22,2016,5,22,1600,Canada,CA-BC-OS,British Columbia,Okanagan-Similkameen,Vaseux Lake,49.2997440,-119.5332700,"",,Unspecified,"","",,,,,,,S29858235,"",,,,,Aeronautes saxatalis,whtswi,Species,4103,,4.71,72,,1004,1500
260976761,Photo,White-throated Swift,Aeronautes saxatalis,,Carter Gasiorowski,2020-09-07,2020,9,7,720,United States,US-CA-085,California,Santa Clara,Don Edwards NWR--Env. Ed. Ctr. (EEC) and nearby upland areas,37.4389160,-121.9594560,"",,Unspecified,"","",,,,,,,S73320991,"",,,,,Aeronautes saxatalis,whtswi,Species,4103,,4.70,56,,1627,2440
171662021,Photo,White-throated Swift,Aeronautes saxatalis,,Bob Walker,2019-08-07,2019,8,7,829,United States,US-NM-028,New Mexico,Los Alamos,"NM Los Alamos, Bandelier, County-line Lagoons",35.7682087,-106.2570620,Unknown,,Unspecified,"","",,,,,,,S58813817,"",,,,,Aeronautes saxatalis,whtswi,Species,4103,,4.96,23,,1200,1600
385919851,Photo,White-throated Swift,Aeronautes saxatalis,,Marky Mutchler,2021-11-06,2021,11,6,1259,United States,US-CA-037,California,Los Angeles,Ken Malloy Harbor Regional Park,33.7874582,-118.2939363,"",,Unspecified,"","",,,,,,,S97211930,"",,,,,Aeronautes saxatalis,whtswi,Species,4103,,4.88,25,,1250,2068
402609541,Photo,White-throated Swift,Aeronautes saxatalis,,Marky Mutchler,2022-01-04,2022,1,4,723,United States,US-CA-037,California,Los Angeles,Santa Fe Dam Rec. Area,34.1113782,-117.9507637,"",,Unspecified,"","",,,,,,,S100110517,"",,,,,Aeronautes saxatalis,whtswi,Species,4103,,4.80,30,,1571,2710
559240371,Photo,White-throated Swift,Aeronautes saxatalis,,Marky Mutchler,2023-04-17,2023,4,17,623,United States,US-CA-037,California,Los Angeles,Angeles NF--Bear Divide,34.3602832,-118.3958924,"",,Unspecified,"","",,,,,,,S134126041,"",,,,,Aeronautes saxatalis,whtswi,Species,4103,,4.83,18,,1971,3027
319879921,Photo,White-throated Swift,Aeronautes saxatalis,,Jack Parlapiano,2021-03-25,2021,3,25,1528,United States,US-NM-043,New Mexico,Sandoval,Cochiti Spillway (roadside access only),35.6178243,-106.3251532,"",,Unspecified,"","",,,,,,,S84088595,"",,,,,Aeronautes saxatalis,whtswi,Species,4103,,4.93,14,,2508,3967
566269541,Photo,White-throated Swift,Aeronautes saxatalis,,Liam Wolff,2022-05-15,2022,5,15,1842,United States,US-TX-109,Texas,Culberson,Guadalupe Mts. NP--Frijole Ranch (FWTX 16),31.9074905,-104.8013279,"",,Unspecified,"","",,,,,,,S110337430,"",,,,"31.9105259267, -104.798519463",Aeronautes saxatalis,whtswi,Species,4103,,4.65,20,,2333,3500
407300901,Photo,White-throated Swift,Aeronautes saxatalis,,Aidan Brubaker,2022-01-01,2022,1,1,1441,United States,US-CA-067,California,Sacramento,American River Parkway--Nimbus Fish Hatchery downstream to Upper Sunrise Nimbus Road Parking Area,38.6341872,-121.2253864,"",,Unspecified,"","",,,,,,,S99886098,"",,,,,Aeronautes saxatalis,whtswi,Species,4103,,4.30,50,,1434,1953
297353481,Photo,White-throated Swift,Aeronautes saxatalis,,Graham Gerdeman,2021-01-13,2021,1,13,1106,United States,US-TN-065,Tennessee,Hamilton,Tennessee Riverwalk--Curtain Pole Rd.,35.0664314,-85.2729741,"",Flying,Unspecified,"","",,,,,,,S79178320,"",,,,Continuing mega rarity. Swift with white throat and belly and sides. Many photos.,Aeronautes saxatalis,whtswi,Species,4103,,4.73,15,"",2047,1462
351202961,Photo,White-throated Swift,Aeronautes saxatalis,,Bryan Calk,2021-06-02,2021,6,2,813,United States,US-TX-465,Texas,Val Verde,Seminole Canyon SP (HOTE 011),29.6935703,-101.3185787,"",,Unspecified,"","",,,,,,,S89660065,"",,,,,Aeronautes saxatalis,whtswi,Species,4103,,4.55,20,,2294,4078
