ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
407906431,Photo,White Ibis,Eudocimus albus,,Dorian Anderson,2021-11-12,2021,11,12,0,United States,US-TX-061,Texas,Cameron,South Padre Is.--County Park mudflats N. of Conv Ctr.,26.1440832,-97.1757324,Adult – 1,,Unspecified,"","",,,,,,,S100307504,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.97,150,,4474,6707
408151411,Photo,White Ibis,Eudocimus albus,,Dorian Anderson,2021-11-12,2021,11,12,0,United States,US-TX-061,Texas,Cameron,South Padre Is.--County Park mudflats N. of Conv Ctr.,26.1440832,-97.1757324,"",,Unspecified,"","",,,,,,,S100307504,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.96,98,,4714,7068
138913261,Photo,White Ibis,Eudocimus albus,,Liam Wolff,2015-10-11,2015,10,11,820,United States,US-GA-245,Georgia,Richmond,Phinizy Swamp Nature Park,33.3855863,-81.9606900,Adult,,Unspecified,"","",,,,,,,S25388759,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.92,79,,2304,3456
138913271,Photo,White Ibis,Eudocimus albus,,Liam Wolff,2015-10-11,2015,10,11,820,United States,US-GA-245,Georgia,Richmond,Phinizy Swamp Nature Park,33.3855863,-81.9606900,Adult,,Unspecified,"","",,,,,,,S25388759,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.95,63,,3456,5184
423696681,Photo,White Ibis,Eudocimus albus,,Matt Felperin,2022-02-17,2022,2,17,832,United States,US-TX-157,Texas,Fort Bend,Brazos Bend SP (UTC 117),29.3735739,-95.6230259,"",,Unspecified,"","",,,,,,,S102791742,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.95,59,,1872,2806
57890111,Photo,White Ibis,Eudocimus albus,,Melissa James,2017-04-29,2017,4,29,730,United States,US-FL-115,Florida,Sarasota,Myakka River SP,27.2405033,-82.3148167,"",,Unspecified,"","",,,,,,,S36396362,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.93,67,,2629,3943
576858801,Photo,White Ibis,Eudocimus albus,,Dorian Anderson,2023-01-31,2023,1,31,1621,United States,US-FL-099,Florida,Palm Beach,Wakodahatchee Wetlands,26.4781984,-80.1447380,Adult – 1,,Unspecified,"","",,,,,,,S127358519,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.98,45,,4284,6425
616372032,Photo,White Ibis,Eudocimus albus,,Anne Inga,2024-03-23,2024,3,23,702,United States,US-FL-081,Florida,Manatee,Perico Preserve,27.4972082,-82.6779646,"",,Unspecified,"","",,,,,,,S165706406,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.92,51,,3145,4413
441815351,Photo,White Ibis,Eudocimus albus,,Anne Inga,2022-04-29,2022,4,29,1719,United States,US-FL-081,Florida,Manatee,Emerson Point Preserve,27.5320111,-82.6256604,"",,Unspecified,"","",,,,,,,S108429528,"",,,,,Eudocimus albus,whiibi,Species,7377,,5.00,37,,4807,6711
502641041,Photo,White Ibis,Eudocimus albus,,Anne Inga,2022-11-11,2022,11,11,656,United States,US-FL-081,Florida,Manatee,Perico Preserve,27.4972082,-82.6779646,"",,Unspecified,"","",,,,,,,S122229551,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.97,37,,2882,3753
473422851,Photo,White Ibis,Eudocimus albus,,Matt Mason,2022-08-07,2022,8,7,644,United States,US-OH-169,Ohio,Wayne,Funk Bottoms Wildlife Area (Wayne Co.),40.7524219,-82.1058162,"",,Unspecified,"","",,,,,,,S116520857,"",,,,Found yesterday by Aden Yoders group. Continuing today Many observers.,Eudocimus albus,whiibi,Species,7377,,4.82,61,,3252,4320
565973101,Photo,White Ibis,Eudocimus albus,,Andrew Simon,2023-03-02,2023,3,2,1627,United States,US-FL-057,Florida,Hillsborough,Independence Park office complex,27.9809017,-82.5543112,"",,Unspecified,"","",,,,,,,S130013650,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.97,34,,2059,3076
503835421,Photo,White Ibis,Eudocimus albus,,Matt Mason,2022-11-08,2022,11,8,1350,United States,US-TX-061,Texas,Cameron,South Padre Is.--Birding and Nature Center,26.1374628,-97.1739367,"",,Unspecified,"","",,,,,,,S122107843,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.75,48,,3413,4800
612224167,Photo,White Ibis,Eudocimus albus,,Ryan Sanderson,2023-12-09,2023,12,9,658,United States,US-FL-103,Florida,Pinellas,Fort De Soto Park,27.6327266,-82.7181570,Adult – 1,,Unspecified,"","",,,,,,,S156003593,"",,,,,Eudocimus albus,whiibi,Species,7377,,5.00,23,,4977,7462
246840431,Photo,White Ibis,Eudocimus albus,,Tom Johnson,2020-07-01,2020,7,1,711,United States,US-NJ-009,New Jersey,Cape May,Ocean City Welcome Center,39.2881767,-74.5824587,"","",Unspecified,"","",,,,,,,S71014714,"",,,,"*continuing/ nesting; 1x1 count at one time; 3 adult, 9 SY; 2 active nests with eggs and birds incubating (one adult incubating on nest A through entire observation; adult incubating on nest B stood up to reveal at least 2 eggs, sat down and continued incubating, then later switched nest roles with its SY mate); photos/ video/ audio",Eudocimus albus,whiibi,Species,7377,,4.96,24,Habitat,2838,4257
126401461,Photo,White Ibis,Eudocimus albus,,Brad Imhoff,2017-03-05,2017,3,5,1143,United States,US-FL-009,Florida,Brevard,Canaveral National Seashore,28.6460579,-80.6774851,"",,Unspecified,"","",,,,,,,S34980438,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.86,28,,2675,4012
517775061,Photo,White Ibis,Eudocimus albus,,Sean Fitzgerald,2020-08-23,2020,8,23,930,United States,US-FL-111,Florida,St. Lucie,Ocean Bay Natural Area,27.3258130,-80.2296131,Adult – 1,,Unspecified,"","",,,,,,,S72745946,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.88,26,,2861,4578
473422791,Photo,White Ibis,Eudocimus albus,,Matt Mason,2022-08-07,2022,8,7,644,United States,US-OH-169,Ohio,Wayne,Funk Bottoms Wildlife Area (Wayne Co.),40.7524219,-82.1058162,"",,Unspecified,"","",,,,,,,S116520857,"",,,,Found yesterday by Aden Yoders group. Continuing today Many observers.,Eudocimus albus,whiibi,Species,7377,,4.92,24,,3026,4320
354292711,Photo,White Ibis,Eudocimus albus,,Matt Mason,2021-07-13,2021,7,13,1813,United States,US-OH-081,Ohio,Jefferson,Jefferson Lake SP,40.4644170,-80.8065530,"",,Unspecified,"","",,,,,,,S91723083,"",,,,Great find by Susannah Hopkins!    Juvenile bird.,Eudocimus albus,whiibi,Species,7377,,4.67,45,,2042,2538
111810191,Photo,White Ibis,Eudocimus albus,,Michael Todd,2018-08-21,2018,8,21,649,United States,US-TN-157,Tennessee,Shelby,Ensley Bottoms--Maxson Wastewater Lagoons/Earth Complex  (The Pits),35.0595800,-90.1410198,Juvenile,,Unspecified,"","",,,,,,,S47987065,"",,,,"Actual count, all juveniles, moving widely across area but still concentrated in rear ponds. Continuing",Eudocimus albus,whiibi,Species,7377,,4.85,26,,1201,1800
619411483,Photo,White Ibis,Eudocimus albus,,James Tornetta,2024-05-18,2024,5,18,625,United States,US-NJ-009,New Jersey,Cape May,Ocean City Welcome Center,39.2881767,-74.5824587,"",,Unspecified,"","",,,,,,,S175373073,"",,,,Easily,Eudocimus albus,whiibi,Species,7377,,4.95,20,,1707,2560
88001801,Photo,White Ibis,Eudocimus albus,,Ian Routley,2018-02-15,2018,2,15,720,Mexico,MX-YUC-061,Yucatán,Río Lagartos,Reserva de la Biosfera Ría Lagartos--Río Lagartos,21.6081209,-88.1055450,Juvenile,,Unspecified,"","",,,,,,,S42800274,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.71,35,,1676,2200
510707261,Photo,White Ibis,Eudocimus albus,,Shane Carroll,2022-12-03,2022,12,3,838,United States,US-FL-069,Florida,Lake,Lake Apopka North Shore--Lake Apopka Loop Trail (Bridge to Clay Island Trailhead),28.6894100,-81.6809900,"",,Unspecified,"","",,,,,,,S123425032,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.95,19,,3163,4744
168149201,Photo,White Ibis,Eudocimus albus,,Benjamin Hack,2019-07-12,2019,7,12,1530,United States,US-FL-011,Florida,Broward,Wynmoor,26.2524495,-80.1774962,Adult,,Unspecified,"","",,,,,,,S58126833,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.78,27,,2901,4541
438177351,Photo,White Ibis,Eudocimus albus,,Liam Huber,2022-04-18,2022,4,18,1512,United States,US-TX-215,Texas,Hidalgo,Santa Ana NWR (LTC 059),26.0813003,-98.1351399,"",,Unspecified,"","",,,,,,,S107423126,"",,,,,Eudocimus albus,whiibi,Species,7377,,5.00,17,,3161,4869
191540251,Photo,White Ibis,Eudocimus albus,,Jorge Eduardo Ruano,2019-12-03,2019,12,3,1403,Belize,BZ-BZ,Belize,,"Crooked Tree Wildlife Sanctuary--Bird's Eye View Lodge",17.7686700,-88.5290000,"",,Unspecified,"","",,,,,,,S61966593,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.56,64,,3139,4708
187859261,Photo,White Ibis,Eudocimus albus,,Liam Wolff,2019-11-08,2019,11,8,837,United States,US-GA-245,Georgia,Richmond,Phinizy Swamp Nature Park,33.3855863,-81.9606900,Juvenile – 1,,Unspecified,"","",,,,,,,S61269341,"",,,,Eq pond,Eudocimus albus,whiibi,Species,7377,,4.90,20,,2999,4500
590686901,Photo,White Ibis,Eudocimus albus,,Michael Stubblefield,2023-04-29,2023,4,29,1558,United States,US-NJ-009,New Jersey,Cape May,Ocean City Welcome Center,39.2881767,-74.5824587,Immature – 1,Flying,Unspecified,"","",,,,,,,S135474211,"",,,"White Ibis (Eudocimus albus albus), in first summer plumage in flight over the salt marsh near the heron rookery at the Ocean City Welcome Center, Ocean City, New Jersey.",Undercount,Eudocimus albus,whiibi,Species,7377,,4.94,18,"",2374,3561
191540341,Photo,White Ibis,Eudocimus albus,,Jorge Eduardo Ruano,2019-12-03,2019,12,3,1403,Belize,BZ-BZ,Belize,,"Crooked Tree Wildlife Sanctuary--Bird's Eye View Lodge",17.7686700,-88.5290000,"",,Unspecified,"","",,,,,,,S61966593,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.85,20,,3302,4953
123607141,Photo,White Ibis,Eudocimus albus,,Jorge Eduardo Ruano,2018-11-03,2018,11,3,1220,Belize,BZ-SC,Stann Creek,,"gra gra Dangriga - (16.951, -88.223)",16.9508922,-88.2233947,"",,Unspecified,"","",,,,,,,S49946713,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.47,83,,2556,4144
340193671,Photo,White Ibis,Eudocimus albus,,"Dan O'Brien",2021-05-13,2021,5,13,1712,United States,US-NJ-009,New Jersey,Cape May,Ocean City Welcome Center,39.2881767,-74.5824587,Adult – 1,,Unspecified,"","",,,,,,,S88021426,"",,,,"Continuing birds in the rookery. We had 15 in view at once, with more hidden in the rookery",Eudocimus albus,whiibi,Species,7377,,4.89,18,,3456,4608
156663961,Photo,White Ibis,Eudocimus albus,,Jonathan Eckerson,2019-03-14,2019,3,14,721,United States,US-FL-071,Florida,Lee,Bowmans Beach Regional Park,26.4604691,-82.1558154,"",,Unspecified,"","",,,,,,,S53807386,"",,,,,Eudocimus albus,whiibi,Species,7377,,5.00,15,,3303,4954
324324841,Photo,White Ibis,Eudocimus albus,,Manny Salas,2021-04-07,2021,4,7,649,United States,US-FL-009,Florida,Brevard,Cocoa Beach Pier,28.3677641,-80.6017703,"",,Unspecified,"","",,,,,,,S85018747,"",,,,Lifers,Eudocimus albus,whiibi,Species,7377,,4.62,32,,2560,3840
528080791,Photo,White Ibis,Eudocimus albus,,Brian Genge,2023-01-02,2023,1,2,742,United States,US-TX-215,Texas,Hidalgo,Estero Llano Grande SP WBC (LTC 054),26.1268335,-97.9578167,"",,Unspecified,"","",,,,,,,S125229350,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.74,23,,2000,2960
565973051,Photo,White Ibis,Eudocimus albus,,Andrew Simon,2023-03-02,2023,3,2,1627,United States,US-FL-057,Florida,Hillsborough,Independence Park office complex,27.9809017,-82.5543112,"",,Unspecified,"","",,,,,,,S130013650,"",,,,,Eudocimus albus,whiibi,Species,7377,,5.00,14,,2039,3046
340136341,Photo,White Ibis,Eudocimus albus,,Manny Salas,2021-04-12,2021,4,12,1836,United States,US-FL-009,Florida,Brevard,Cocoa Beach Pier,28.3677641,-80.6017703,"",,Unspecified,"","",,,,,,,S85428628,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.48,50,,3416,5120
138913561,Photo,White Ibis,Eudocimus albus,,Liam Wolff,2014-09-27,2014,9,27,741,United States,US-GA-245,Georgia,Richmond,Phinizy Swamp Nature Park,33.3855863,-81.9606900,Immature,,Unspecified,"","",,,,,,,S19957129,"",,,,Equalization Pond,Eudocimus albus,whiibi,Species,7377,,4.75,20,,4866,3244
49169701,Photo,White Ibis,Eudocimus albus,,Rob Bielawski,2017-02-19,2017,2,19,1112,United States,US-VA-810,Virginia,Virginia Beach,Princess Anne WMA--Beasley Tract,36.6228127,-76.0014315,"",,Unspecified,"","",,,,,,,S34511578,"",,,,,Eudocimus albus,whiibi,Species,7377,,4.81,16,,3648,5472
354292371,Photo,White Ibis,Eudocimus albus,,Matt Mason,2021-07-13,2021,7,13,1813,United States,US-OH-081,Ohio,Jefferson,Jefferson Lake SP,40.4644170,-80.8065530,"",,Unspecified,"","",,,,,,,S91723083,"",,,,Great find by Susannah Hopkins!    Juvenile bird.,Eudocimus albus,whiibi,Species,7377,,4.64,22,,2402,3217
612508560,Photo,White Ibis,Eudocimus albus,,Max Breshears,2023-08-09,2023,8,9,1929,United States,US-NJ-009,New Jersey,Cape May,Ocean City Welcome Center,39.2881767,-74.5824587,"",,Unspecified,"","",,,,,,,S146877501,"",,,,Definitely an undercount. Multiple flocks of 100-200 birds going over at different points. Many family groups and roosting birds.,Eudocimus albus,whiibi,Species,7377,,5.00,12,,3945,2630
465767931,Photo,White Ibis,Eudocimus albus,,Vincent Iadevaia,2022-07-05,2022,7,5,530,United States,US-NJ-009,New Jersey,Cape May,Ocean City Welcome Center,39.2881767,-74.5824587,"",,Unspecified,"","",,,,,,,S114641862,"",,,,,Eudocimus albus,whiibi,Species,7377,,5.00,12,,2777,4164
407825711,Photo,White Ibis,Eudocimus albus,,Liam Wolff,2020-12-10,2020,12,10,839,United States,US-TX-071,Texas,Chambers,Anahuac NWR--Shoveler Pond Loop,29.6138335,-94.5452351,Adult – 1,Flying,Unspecified,"","",,,,,,,S77305920,"",,,,,Eudocimus albus,whiibi,Species,7377,,5.00,12,"",2878,4317
