ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
484715111,Photo,Wild Turkey,Meleagris gallopavo,,Dorian Anderson,2022-05-06,2022,5,6,657,United States,US-NC-021,North Carolina,Buncombe,Sandy Mush Game Land--Cedar Hill Rd. #4,35.7286770,-82.6616585,Adult Male – 1,"Courtship, Display, or Copulation",Unspecified,"","",,,,,,,S109086012,"",,,,,Meleagris gallopavo,wiltur,Species,1242,,4.93,75,"",4772,7155
176785261,Photo,Wild Turkey,Meleagris gallopavo,,Joel Eckerson,2019-09-12,2019,9,12,1215,United States,US-MA-005,Massachusetts,Bristol,Oak Top (private),41.8547833,-71.1776575,Immature – 1,Foraging or Eating,Unspecified,"","",,,,,,,S59712280,"",,,,,Meleagris gallopavo,wiltur,Species,1242,,4.87,83,"",3060,4527
322987541,Photo,Wild Turkey,Meleagris gallopavo,,Matthew Plante,2021-04-04,2021,4,4,759,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,Adult Male – 2,,Unspecified,"","",,,,,,,S84760881,"",,,,,Meleagris gallopavo,wiltur,Species,1242,,4.82,94,,2593,3890
536973431,Photo,Wild Turkey,Meleagris gallopavo,,Arun Christopher Manoharan,2023-02-18,2023,2,18,919,United States,US-WI-025,Wisconsin,Dane,UW Madison Arboretum (general),43.0413553,-89.4290972,"",,Unspecified,"","",,,,,,,S128772870,"",,,,,Meleagris gallopavo,wiltur,Species,1242,,4.85,80,,3597,3122
283602381,Photo,Wild Turkey,Meleagris gallopavo,,Paul Fenwick,2020-11-27,2020,11,27,843,United States,US-CA-053,California,Monterey,US-CA-Salinas-680-738 Monterey Salinas Hwy - 36.5786x-121.7274,36.5785690,-121.7273700,Adult Male – 1,Foraging or Eating,Unspecified,"","",,,,,,,S76752929,"",,,,,Meleagris gallopavo,wiltur,Species,1242,,4.85,61,"",2878,4797
615522995,Photo,Wild Turkey,Meleagris gallopavo,,Ruslan Balagansky,2024-02-25,2024,2,25,1223,United States,US-CA-073,California,San Diego,"California 79, Santa Ysabel, California, US (33.188, -116.702)",33.1879359,-116.7016832,Male – 7,,Unspecified,"","",,,,,,,S162955684,"",,,,,Meleagris gallopavo,wiltur,Species,1242,,5.00,34,,2879,4319
408689311,Photo,Wild Turkey,Meleagris gallopavo,,Shey S,2022-01-22,2022,1,22,1430,Canada,CA-ON-PL,Ontario,Peel,Brampton--Upper Mount Pleasant Recreational Trail,43.6983420,-79.8594800,"",,Unspecified,"","",,,,,,,S101243939,"",,,,,Meleagris gallopavo,wiltur,Species,1242,,4.95,39,,1365,2048
623486323,Photo,Wild Turkey,Meleagris gallopavo,,Andrew Simon,2024-05-10,2024,5,10,951,Canada,CA-ON-ES,Ontario,Essex,Point Pelee NP--Cactus Trail,41.9393740,-82.5158429,"",,Unspecified,"","",,,,,,,S173254820,"",,,,,Meleagris gallopavo,wiltur,Species,1242,,4.80,75,,2706,4058
176785271,Photo,Wild Turkey,Meleagris gallopavo,,Joel Eckerson,2019-09-12,2019,9,12,1215,United States,US-MA-005,Massachusetts,Bristol,Oak Top (private),41.8547833,-71.1776575,"",,Unspecified,"","",,,,,,,S59712280,"",,,,,Meleagris gallopavo,wiltur,Species,1242,,4.84,57,,3217,4826
619681099,Photo,Wild Turkey,Meleagris gallopavo,,Steven Meisel,2024-05-27,2024,5,27,1121,United States,US-MN-163,Minnesota,Washington,Tamarack Nature Preserve,44.9219074,-92.9423404,"",,Unspecified,"","",,,,,,,S177594201,"",,,,Seriously harassed by RWBB,Meleagris gallopavo,wiltur,Species,1242,,4.97,33,,3888,5184
