ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
500539821,Photo,Wood Stork,Mycteria americana,,Anne Inga,2022-11-04,2022,11,4,728,United States,US-FL-081,Florida,Manatee,Perico Preserve,27.4972082,-82.6779646,"",,Unspecified,"","",,,,,,,S121840126,"",,,,,Mycteria americana,woosto,Species,7224,,5.00,63,,2977,2181
188353671,Photo,Wood Stork,Mycteria americana,,Martina Nordstrand,2019-09-27,2019,9,27,1031,United States,US-SC-043,South Carolina,Georgetown,Huntington Beach SP,33.5083000,-79.0659000,"",,Unspecified,"","",,,,,,,S60156359,"",,,,,Mycteria americana,woosto,Species,7224,,4.88,81,,2397,3595
397265071,Photo,Wood Stork,Mycteria americana,,Bryan Calk,2021-11-05,2021,11,5,813,United States,US-TX-061,Texas,Cameron,Old Port Isabel Rd,26.0057269,-97.4183462,Immature – 1,,Unspecified,"","",,,,,,,S97290895,"",,,,,Mycteria americana,woosto,Species,7224,,4.84,62,,2639,4692
70047501,Photo,Wood Stork,Mycteria americana,,Alec Hopping,2015-06-09,2015,6,9,1734,United States,US-GA-127,Georgia,Glynn,Village Creek Landing,31.2055140,-81.3600550,"",,Unspecified,"","",,,,,,,S23845720,"",,,,,Mycteria americana,woosto,Species,7224,,4.85,61,,3648,5472
65914711,Photo,Wood Stork,Mycteria americana,,Tom Hince,2017-08-12,2017,8,12,1911,Canada,CA-ON-ES,Ontario,Essex,Point Pelee NP--Tip,41.9124495,-82.5093198,Juvenile,,Unspecified,"","",,,,,,,S38615517,"",,,On west side of west trail to Tip about 100 yards south of the solar panel display.,,Mycteria americana,woosto,Species,7224,,5.00,33,,3237,4855
610430801,Photo,Wood Stork,Mycteria americana,,Anne Inga,2023-10-27,2023,10,27,820,United States,US-FL-081,Florida,Manatee,Terra Ceia Preserve SP--Hightower Trail,27.5813861,-82.5726682,"",,Unspecified,"","",,,,,,,S153166026,"",,,,,Mycteria americana,woosto,Species,7224,,4.90,42,,6336,8722
424293281,Photo,Wood Stork,Mycteria americana,,Matt Felperin,2018-03-10,2018,3,10,720,United States,US-FL-099,Florida,Palm Beach,Wakodahatchee Wetlands,26.4781984,-80.1447380,"",,Unspecified,"","",,,,,,,S67517756,"",,,,,Mycteria americana,woosto,Species,7224,,4.77,71,,1365,2048
252753371,Photo,Wood Stork,Mycteria americana,,Alison Davies,2020-07-30,2020,7,30,610,United States,US-CA-065,California,Riverside,stakeout Wood Stork--Perris 2020,33.7559359,-117.2165667,"",,Unspecified,"","",,,,,,,S71971497,"",,,,"Continuing rarity. Huge, prehistoric-looking bird; white overall with black flight feathers that have a dark green and coppery iridescent sheen in the right light (I even saw a bit of turquoise!); head and neck are featherless and neck is scaly; long, heavy bill with downward curve at the end; and long, thin legs for wading.",Mycteria americana,woosto,Species,7224,,4.85,39,,2274,4002
399301881,Photo,Wood Stork,Mycteria americana,,Connor Cochrane,2021-11-21,2021,11,21,703,United States,US-FL-021,Florida,Collier,Pelican Bay,26.2293746,-81.8199921,"",,Unspecified,"","",,,,,,,S97871072,"",,,,,Mycteria americana,woosto,Species,7224,,4.79,42,,2127,3191
196172601,Photo,Wood Stork,Mycteria americana,,Andrew Simon,2019-11-13,2019,11,13,1050,United States,US-FL-115,Florida,Sarasota,Myakka River SP,27.2405033,-82.3148167,"",,Unspecified,"","",,,,,,,S61418027,"",,,,,Mycteria americana,woosto,Species,7224,,4.77,44,,2183,3262
615601136,Photo,Wood Stork,Mycteria americana,,Marcus Kelly,2024-03-02,2024,3,2,719,United States,US-FL-099,Florida,Palm Beach,Stormwater Treatment Area 1E--Auto entrance (RESTRICTED ACCESS - Access via AE Trips Only),26.6809958,-80.3004992,"",,Unspecified,"","",,,,,,,S163479063,"",,,,,Mycteria americana,woosto,Species,7224,,4.78,40,,3541,5311
361429391,Photo,Wood Stork,Mycteria americana,,Bob Estes,2021-08-15,2021,8,15,630,United States,US-MO-185,Missouri,St. Clair,Schell-Osage CA (St. Clair Co.),38.0113585,-94.0512300,"",,Unspecified,"","",,,,,,,S93271743,"",,,,"This solitary bird flew down to a shrinking lake where fish from a recent flood were being concentrated.  It joined hundreds of Great Egrets and commenced wading head down with its open bill in the water.  The egrets ignored it.  The bird was about the size of the egrets.  It was all white, except for the black flight feathers and tail.  It had a large, square-appearing, blackish head and a long, massive, light brown, decurved bull.  It had been wading in mud, but its legs appeared to be dark colored and its muddy feet were somewhat orange/yellow.  See attached photo.",Mycteria americana,woosto,Species,7224,,4.92,24,,2306,3259
255309611,Photo,Wood Stork,Mycteria americana,,Jamie Baker,2020-08-13,2020,8,13,1220,United States,US-KY-111,Kentucky,Jefferson,Falls of the Ohio National Wildlife Conservation Area (KY),38.2733354,-85.7657962,"",,Unspecified,"","",,,,,,,S72374384,"",,,,"Eric Hope found and reported this bird earlier in the morning. Several of us observed it from pretty far away and eventually it took off and flew around, passing pretty close by us, and landed on the wall. Shortly after it went back down to the fossil beds. Still present when I left. See attached photos.",Mycteria americana,woosto,Species,7224,,4.81,27,,2099,3149
397265061,Photo,Wood Stork,Mycteria americana,,Bryan Calk,2021-11-05,2021,11,5,813,United States,US-TX-061,Texas,Cameron,Old Port Isabel Rd,26.0057269,-97.4183462,Immature – 1,,Unspecified,"","",,,,,,,S97290895,"",,,,,Mycteria americana,woosto,Species,7224,,4.82,22,,2522,4483
399301891,Photo,Wood Stork,Mycteria americana,,Connor Cochrane,2021-11-21,2021,11,21,703,United States,US-FL-021,Florida,Collier,Pelican Bay,26.2293746,-81.8199921,"",,Unspecified,"","",,,,,,,S97871072,"",,,,,Mycteria americana,woosto,Species,7224,,4.88,16,,2227,3341
359475871,Photo,Wood Stork,Mycteria americana,,Steve Rappaport,2021-08-06,2021,8,6,1830,United States,US-NY-021,New York,Columbia,"118 German Church Road, Ghent",42.2911641,-73.6553564,"",,Unspecified,"","",,,,,,,S92869458,"",,,,"Juvenile bird with large, paler, curved bill and feathered head/neck.",Mycteria americana,woosto,Species,7224,,5.00,13,,3561,5341
196172551,Photo,Wood Stork,Mycteria americana,,Andrew Simon,2019-11-13,2019,11,13,1050,United States,US-FL-115,Florida,Sarasota,Myakka River SP,27.2405033,-82.3148167,"",,Unspecified,"","",,,,,,,S61418027,"",,,,,Mycteria americana,woosto,Species,7224,,4.71,21,,2106,3145
364675101,Photo,Wood Stork,Mycteria americana,,Corinna Honscheid,2021-08-28,2021,8,28,922,United States,US-OH-043,Ohio,Erie,"stakeout Wood Stork, Martins Point Rd. (2021) (view birds from roadside only)",41.4480620,-82.8146220,"",,Unspecified,"","",,,,,,,S93856536,"",,,,Continuing. Photos,Mycteria americana,woosto,Species,7224,,4.43,37,,1536,2306
49346951,Photo,Wood Stork,Mycteria americana,,Alex Lamoreaux,2016-12-30,2016,12,30,1434,United States,US-FL-001,Florida,Alachua,Sweetwater Wetlands Park,29.6193055,-82.3285764,Adult – 1,,Unspecified,"","",,,,,,,S33295982,"",,,,,Mycteria americana,woosto,Species,7224,,4.68,19,,3372,5054
