ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
273607701,Photo,"Woodhouse's Scrub-Jay",Aphelocoma woodhouseii,,Jim Merritt,2020-10-22,2020,10,22,729,United States,US-CO-041,Colorado,El Paso,Red Rock Canyon Open Space,38.8473432,-104.8811263,"",,Unspecified,"","",,,,,,,S75213297,"",,,,,Aphelocoma woodhouseii,wooscj2,Species,21085,,4.96,92,,2179,3237
197629111,Photo,"Woodhouse's Scrub-Jay",Aphelocoma woodhouseii,,Jim Merritt,2020-01-04,2020,1,4,736,United States,US-CO-041,Colorado,El Paso,Red Rock Canyon Open Space,38.8473432,-104.8811263,"",,Unspecified,"","",,,,,,,S62993172,"",,,,,Aphelocoma woodhouseii,wooscj2,Species,21085,,4.92,97,,8331,10000
218772911,Photo,"Woodhouse's Scrub-Jay",Aphelocoma woodhouseii,,Jim Merritt,2020-03-28,2020,3,28,729,United States,US-CO-041,Colorado,El Paso,Red Rock Canyon Open Space,38.8473432,-104.8811263,"",,Unspecified,"","",,,,,,,S66325203,"",,,,,Aphelocoma woodhouseii,wooscj2,Species,21085,,4.94,82,,6651,10000
499296281,Photo,"Woodhouse's Scrub-Jay",Aphelocoma woodhouseii,,Fernando Ortega,2022-10-30,2022,10,30,1645,United States,US-NM-001,New Mexico,Bernalillo,"719 Alondra Ln NW, Los Ranchos de Albuquerque US-NM 35.17706, -106.64129",35.1770560,-106.6412920,"",,Unspecified,"","",,,,,,,S121609949,"",,,,,Aphelocoma woodhouseii,wooscj2,Species,21085,,4.90,90,,2857,4000
355193631,Photo,"Woodhouse's Scrub-Jay",Aphelocoma woodhouseii,,Zebedee Muller,2020-08-21,2020,8,21,534,United States,US-AZ-005,Arizona,Coconino,Grand Canyon NP--South Rim,36.0160000,-112.0900000,"",,Unspecified,"","",,,,,,,S72671214,"",,,,,Aphelocoma woodhouseii,wooscj2,Species,21085,,4.90,86,,2166,3035
214008791,Photo,"Woodhouse's Scrub-Jay",Aphelocoma woodhouseii,,Jim Merritt,2020-03-05,2020,3,5,722,United States,US-CO-041,Colorado,El Paso,Red Rock Canyon Open Space,38.8473432,-104.8811263,"",,Unspecified,"","",,,,,,,S65463235,"",,,,,Aphelocoma woodhouseii,wooscj2,Species,21085,,4.93,59,,9801,10000
218772951,Photo,"Woodhouse's Scrub-Jay",Aphelocoma woodhouseii,,Jim Merritt,2020-03-28,2020,3,28,729,United States,US-CO-041,Colorado,El Paso,Red Rock Canyon Open Space,38.8473432,-104.8811263,"",,Unspecified,"","",,,,,,,S66325203,"",,,,,Aphelocoma woodhouseii,wooscj2,Species,21085,,4.94,35,,10000,9187
244310891,Photo,"Woodhouse's Scrub-Jay",Aphelocoma woodhouseii,,Jim Merritt,2020-06-18,2020,6,18,1617,United States,US-CO-041,Colorado,El Paso,Red Rock Canyon Open Space,38.8473432,-104.8811263,"",,Unspecified,"","",,,,,,,S70591896,"",,,,,Aphelocoma woodhouseii,wooscj2,Species,21085,,4.96,28,,8484,10000
491100511,Photo,"Woodhouse's Scrub-Jay",Aphelocoma woodhouseii,,Fernando Ortega,2022-10-06,2022,10,6,1422,United States,US-NM-001,New Mexico,Bernalillo,"719 Alondra Ln NW, Los Ranchos de Albuquerque US-NM 35.17706, -106.64129",35.1770560,-106.6412920,"",,Unspecified,"","",,,,,,,S120092991,"",,,,,Aphelocoma woodhouseii,wooscj2,Species,21085,,4.96,27,,3200,4000
66187161,Photo,"Woodhouse's Scrub-Jay",Aphelocoma woodhouseii,,Ed Harper,2017-08-15,2017,8,15,1558,United States,US-CO-085,Colorado,Montrose,Black Canyon of the Gunnison NP--South Rim,38.5811339,-107.7153254,Adult,,Unspecified,"","",,,,,,,S38664934,"",,,,,Aphelocoma woodhouseii,wooscj2,Species,21085,,4.89,27,,1760,1760
190254231,Photo,"Woodhouse's Scrub-Jay",Aphelocoma woodhouseii,,Jim Merritt,2019-11-27,2019,11,27,1443,United States,US-CO-041,Colorado,El Paso,Red Rock Canyon Open Space,38.8473432,-104.8811263,"",,Unspecified,"","",,,,,,,S61804151,"",,,,,Aphelocoma woodhouseii,wooscj2,Species,21085,,4.95,22,,7173,10000
114160231,Photo,"Woodhouse's Scrub-Jay",Aphelocoma woodhouseii,,Melissa Hafting,2016-09-27,2016,9,27,1610,United States,US-AZ-025,Arizona,Yavapai,dry creek road,34.8877498,-111.8227597,Adult,,Unspecified,"","",,,,,,,S48382956,"",,,,,Aphelocoma woodhouseii,wooscj2,Species,21085,,4.70,44,,1654,2481
614150451,Photo,"Woodhouse's Scrub-Jay",Aphelocoma woodhouseii,,Fernando Ortega,2024-01-28,2024,1,28,1606,United States,US-NM-001,New Mexico,Bernalillo,"Elena Gallegos Open Space, Albuquerque US-NM 35.16383, -106.46986",35.1638290,-106.4698580,"",,Unspecified,"","",,,,,,,S160072577,"",,,,,Aphelocoma woodhouseii,wooscj2,Species,21085,,4.95,19,,4000,3200
43980041,Photo,"Woodhouse's Scrub-Jay",Aphelocoma woodhouseii,,Eric Gofreed,2016-12-28,2016,12,28,830,United States,US-AZ-025,Arizona,Yavapai,"Eric's Yard",34.7901932,-111.7825111,Adult,,Unspecified,"","",,,,,,,S33318420,"",,,,,Aphelocoma woodhouseii,wooscj2,Species,21085,,4.70,30,,534,800
