ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
157574821,Photo,Yellow-bellied Sapsucker,Sphyrapicus varius,,Henry Trombley,2019-05-10,2019,5,10,1622,United States,US-VT-001,Vermont,Addison,245 Dan Sargent Rd,44.1639480,-73.0155600,Adult Male,,Unspecified,"","",,,,,,,S56097586,"",,,,,Sphyrapicus varius,yebsap,Species,11016,,4.91,126,,3538,3892
325608001,Photo,Yellow-bellied Sapsucker,Sphyrapicus varius,,Zane Shantz,2021-04-08,2021,4,8,730,Canada,CA-ON-BC,Ontario,Bruce,Bruce Peninsula--Lindsay Road 30 Fields,45.1011704,-81.4441863,"",,Unspecified,"","",,,,,,,S85090095,"",,,,,Sphyrapicus varius,yebsap,Species,11016,,4.88,98,,3670,5496
430966511,Photo,Yellow-bellied Sapsucker,Sphyrapicus varius,,Ryan Sanderson,2022-03-31,2022,3,31,731,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Adult Male – 1,,Unspecified,"","",,,,,,,S105954383,"",,,,,Sphyrapicus varius,yebsap,Species,11016,,4.87,83,,2034,3051
612350538,Photo,Yellow-bellied Sapsucker,Sphyrapicus varius,,Matt Felperin,2023-12-17,2023,12,17,747,United States,US-VA-107,Virginia,Loudoun,Algonkian Regional Park,39.0620525,-77.3790391,"",,Unspecified,"","",,,,,,,S156550882,"",,,,,Sphyrapicus varius,yebsap,Species,11016,,4.98,48,,1697,2544
89432221,Photo,Yellow-bellied Sapsucker,Sphyrapicus varius,,Mike Cameron,2018-03-10,2018,3,10,755,United States,US-TX-085,Texas,Collin,Heard Nat. Sci. Mus.& Wildlife Sanct,33.1584503,-96.6153376,"",,Unspecified,"","",,,,,,,S43528385,"",,,,,Sphyrapicus varius,yebsap,Species,11016,,4.89,65,,1920,3072
113556381,Photo,Yellow-bellied Sapsucker,Sphyrapicus varius,,Yann Kolbeinsson,2018-09-02,2018,9,2,1547,Iceland,IS-8,Suðurland,,Grímsnes--Vatnsholtsvegur,64.1477873,-20.6196882,Immature Female – 1,,Unspecified,"","",,,,,,,S48243645,"",,,"Female, 2cy. 3rd record Iceland and 6th for the WP.","Female, 2cy",Sphyrapicus varius,yebsap,Species,11016,,4.83,78,,800,1200
325535401,Photo,Yellow-bellied Sapsucker,Sphyrapicus varius,,Mitchell Goldfarb,2021-04-09,2021,4,9,1828,United States,US-MA-003,Massachusetts,Berkshire,Rote Hill,42.0981066,-73.3162111,"",,Unspecified,"","",,,,,,,S85197177,"",,,,,Sphyrapicus varius,yebsap,Species,11016,,4.88,51,,3078,2308
97227421,Photo,Yellow-bellied Sapsucker,Sphyrapicus varius,,Daniel Irons,2018-03-26,2018,3,26,731,United States,US-MD-035,Maryland,"Queen Anne's",Big water farm (Private),38.8879430,-76.1964941,"",,Unspecified,"","",,,,,,,S43973032,"",,,,,Sphyrapicus varius,yebsap,Species,11016,,4.87,53,,1638,2457
517657021,Photo,Yellow-bellied Sapsucker,Sphyrapicus varius,,Steven Hunter,2022-12-28,2022,12,28,1115,United States,US-CA-001,California,Alameda,Crescent Park,37.8944723,-122.2545555,Adult Male – 1,,Unspecified,"","",,,,,,,S124781014,"",,,,"Continuing, male, red cap, red throat framed entirely by black, yellow wash on chest. In Bay tree to east of the crescent.",Sphyrapicus varius,yebsap,Species,11016,,4.95,40,,2159,2948
615069005,Photo,Yellow-bellied Sapsucker,Sphyrapicus varius,,Aidan Brubaker,2024-02-18,2024,2,18,937,United States,US-CA-023,California,Humboldt,Stakeout Yellow-bellied Sapsucker - Ferndale,40.5784310,-124.2636490,"",,Unspecified,"","",,,,,,,S162116566,"",,,,"Continuing in the same apple tree at (40.5785394, -124.2638690). Super cooperative today! Striking adult.",Sphyrapicus varius,yebsap,Species,11016,,4.87,47,,2608,3919
